Technology;Sector
P_Biomass;Power
P_Coal_Hardcoal;Power
P_Coal_Lignite;Power
P_Gas;Power
P_Nuclear;Power
P_Oil;Power
RES_CSP;Power
RES_Geothermal;Power
RES_Hydro_Large;Power
RES_Hydro_Small;Power
RES_Ocean;Power
RES_PV_Rooftop_Commercial;Power
RES_PV_Rooftop_Residential;Power
RES_PV_Utility_Avg;Power
RES_PV_Utility_Inf;Power
RES_PV_Utility_Opt;Power
RES_Wind_Offshore_Transitional;Power
RES_Wind_Offshore_Shallow;Power
RES_Wind_Offshore_Deep;Power
RES_Wind_Onshore_Avg;Power
RES_Wind_Onshore_Inf;Power
RES_Wind_Onshore_Opt;Power
P_Biomass_CCS;Power
HLR_Gas_CHP;Power
HLR_Hardcoal_CHP;Power
HLR_Lignite_CHP;Power
HLI_Gas_CHP;Power
HLI_Biomass_CHP;Power
HLI_Hardcoal_CHP;Power
HLI_Lignite_CHP;Power
HLI_Oil_CHP;Power
HLI_Biomass_CHP_CCS;Power
HLI_Hardcoal_CHP_CCS;Power
HLI_Lignite_CHP_CCS;Power
HLR_Biomass_CHP_CCS;Power
HLR_Hardcoal_CHP_CCS;Power
HLR_Lignite_CHP_CCS;Power
P_Coal_Hardcoal_CCS;Power
P_Coal_Lignite_CCS;Power
P_Gas_CCS;Power
P_H2_OCGT;Power
Res_pv_utility_tracking;Power
P_Gas_CCGT;Power
P_Gas_OCGT;Power
P_Gas_Engines;Power
HLI_Gas_Boiler;Industry
HLI_Biomass;Industry
HLI_Hardcoal;Industry
HLI_Lignite;Industry
HLI_Direct_Electric;Industry
HLI_Solar_Thermal;Industry
HLI_Fuelcell;Industry
HLI_Geothermal;Industry
HLI_Oil_Boiler;Industry
HMI_Gas;Industry
HMI_Biomass;Industry
HMI_HardCoal;Industry
HMI_Steam_Electric;Industry
HMI_Oil;Industry
HHI_BF_BOF;Industry
HHI_DRI_EAF;Industry
HHI_Scrap_EAF;Industry
HHI_H2DRI_EAF;Industry
HHI_Molten_Electrolysis;Industry
HHI_Bio_BF_BOF;Industry
HHI_BF_BOF_CCS;Industry
HHI_DRI_EAF_CCS;Industry
HMI_Gas_CCS;Industry
HMI_HardCoal_CCS;Industry
HLI_H2_Boiler;Industry
HLI_Convert_DH;Industry
HMI_H2;Industry
HLR_Gas_Boiler;Buildings
HLR_Biomass;Buildings
HLR_Biomass_CHP;Buildings
HLR_Hardcoal;Buildings
HLR_Lignite;Buildings
HLR_Direct_Electric;Buildings
HLR_Solar_Thermal;Buildings
HLR_Heatpump_Aerial;Buildings
HLR_Heatpump_Ground;Buildings
HLR_Geothermal;Buildings
HLR_Oil_Boiler;Buildings
HLR_H2_Boiler;Buildings
HLR_Convert_DH;Buildings
FRT_Rail_Conv;Transportation
FRT_Rail_Electric;Transportation
FRT_Road_BEV;Transportation
FRT_Road_H2;Transportation
FRT_Road_ICE;Transportation
FRT_Road_PHEV;Transportation
FRT_Road_OH;Transportation
FRT_Ship_Bio;Transportation
FRT_Ship_Conv;Transportation
PSNG_Air_Bio;Transportation
PSNG_Air_Conv;Transportation
PSNG_Air_H2;Transportation
PSNG_Rail_Conv;Transportation
PSNG_Rail_Electric;Transportation
PSNG_Road_BEV;Transportation
PSNG_Road_H2;Transportation
PSNG_Road_ICE;Transportation
PSNG_Road_PHEV;Transportation
FRT_Road_LNG;Transportation
FRT_Ship_LNG;Transportation
PSNG_Road_LNG;Transportation
A_Rooftop_Commercial;Resources
A_Rooftop_Residential;Resources
R_Coal_Hardcoal;Resources
R_Coal_Lignite;Resources
R_Gas;Resources
R_Nuclear;Resources
R_Oil;Resources
Z_Import_Hardcoal;Resources
Z_Import_Gas;Resources
Z_Import_Oil;Resources
A_CCS_Capacity;Resources
RES_Grass;Resources
RES_Wood;Resources
RES_Residues;Resources
RES_Paper_Cardboard;Resources
RES_Roundwood;Resources
RES_Biogas;Resources
Z_Import_LNG;Resources
A_Air;Resources
Z_Import_H2;Resources
Z_ETS_Buy;Resources
Z_ETS_Sell;Resources
D_Battery_Li-Ion;Power
D_Battery_Redox;Power
D_Gas_H2;Power
D_Heat_HLR;Power
D_Heat_HLI;Power
D_PHS_Residual;Power
D_PHS;Power
D_CAES;Power
D_Gas_Methane;Storages
X_Electrolysis;Power
X_Fuel_Cell;Power
X_Methanation;Power
X_SMR;Power
X_SMR_CCS;Power
X_DAC;Power
X_Biofuel;Power
X_Powerfuel;Power
X_Gasifier;Power
X_Liquifier;Power
X_DAC_LT;Power
X_DAC_HT;Power
CHP_Biomass_Solid;CHP
CHP_Coal_Hardcoal;CHP
CHP_Coal_Lignite;CHP
CHP_Gas_CCGT_Natural;CHP
CHP_Gas_CCGT_Biogas;CHP
CHP_Gas_CCGT_SynGas;CHP
CHP_Biomass_Solid_CCS;CHP
CHP_Coal_Hardcoal_CCS;CHP
CHP_Coal_Lignite_CCS;CHP
CHP_Gas_CCGT_Natural_CCS;CHP
CHP_Gas_CCGT_Biogas_CCS;CHP
CHP_Hydrogen_FuelCell;CHP
CHP_Oil;CHP
Infeasibility_Mob_Passenger;Transportation
Infeasibility_Mob_Freight;Transportation
